CGPA,Internship,Aptitude,Communication,Coding,Projects,Placed
6.0,1,61,78,54,2,Yes
5.8,0,56,46,66,0,No
8.4,0,74,70,78,4,Yes
8.4,1,47,72,68,2,Yes
7.5,0,97,67,97,7,Yes
9.5,1,57,65,81,6,Yes
8.0,1,96,81,67,3,Yes
7.8,0,94,93,81,8,Yes
6.5,0,59,75,84,3,Yes
5.0,0,66,100,71,3,Yes
6.7,0,44,92,84,6,Yes
8.8,1,53,91,42,7,Yes
6.8,0,94,74,40,4,Yes
7.8,0,77,75,77,0,Yes
8.8,0,57,90,59,7,Yes
9.1,0,60,72,79,5,Yes
8.0,0,54,91,58,4,Yes
6.9,0,87,85,78,6,Yes
8.9,1,93,87,48,7,Yes
5.3,0,90,47,66,4,Yes
7.1,0,61,59,60,0,Yes
6.0,1,46,99,68,2,Yes
6.6,1,60,45,77,4,Yes
8.7,0,55,41,84,0,Yes
5.2,1,84,76,40,1,Yes
7.8,1,43,69,66,5,Yes
9.8,0,81,74,54,1,Yes
6.5,0,69,57,45,1,No
6.5,1,73,91,61,2,Yes
5.3,0,79,62,59,0,Yes
7.1,1,87,93,78,8,Yes
8.1,1,89,86,75,2,Yes
8.5,1,46,100,42,0,Yes
8.6,0,49,58,95,5,Yes
7.1,0,89,48,93,6,Yes
7.1,0,86,61,82,4,Yes
8.3,1,64,53,72,5,Yes
8.0,1,81,42,69,0,Yes
8.8,0,63,70,51,5,Yes
8.5,1,96,68,69,1,Yes
8.1,0,63,88,45,1,Yes
9.5,1,71,71,71,4,Yes
8.9,0,63,55,89,6,Yes
7.9,1,49,42,42,7,Yes
5.9,1,85,89,76,4,Yes
8.8,1,100,56,83,0,Yes
9.6,0,64,42,98,7,Yes
8.4,0,53,85,84,7,Yes
8.1,0,55,42,75,8,Yes
7.2,0,54,41,88,3,Yes
6.6,1,63,78,73,0,Yes
7.1,0,45,53,46,7,No
6.2,1,63,85,74,2,Yes
6.6,0,44,97,41,0,No
8.1,0,75,49,45,4,Yes
7.4,0,70,90,66,0,Yes
7.8,0,94,68,67,0,Yes
5.6,1,59,77,79,8,Yes
6.8,1,51,94,54,1,Yes
7.2,1,85,45,45,8,Yes
6.4,0,93,85,52,4,Yes
7.5,0,89,88,82,2,Yes
7.9,1,57,67,90,6,Yes
7.4,0,68,61,82,8,Yes
9.8,1,93,76,66,0,Yes
10.0,0,91,96,64,8,Yes
9.0,0,99,80,85,2,Yes
9.6,0,58,50,65,0,Yes
7.8,1,73,100,73,0,Yes
5.5,1,42,87,93,7,Yes
7.7,0,51,72,40,5,Yes
9.9,0,49,100,94,8,Yes
8.8,1,82,53,93,8,Yes
7.7,0,74,54,81,1,Yes
8.0,0,41,90,51,5,Yes
8.5,1,58,97,50,2,Yes
7.7,0,99,83,85,3,Yes
7.3,0,71,59,54,0,Yes
